t,drone_x,drone_y,drone_z,drone_roll,drone_pitch,drone_yaw,flower_x,flower_y,flower_z,flower_roll,flower_pitch,flower_yaw,dx,dy,dz,distance
0.560000,-0.000009,-0.000366,0.034797,-0.000000,-0.001015,1.570008,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299991,1.000366,1.065203,1.491772
0.570000,-0.000009,-0.000375,0.034797,-0.000000,-0.001015,1.570008,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299991,1.000375,1.065203,1.491778
0.580000,-0.000009,-0.000383,0.034797,-0.000000,-0.001015,1.570008,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299991,1.000383,1.065203,1.491783
0.590000,-0.000009,-0.000391,0.034797,-0.000000,-0.001015,1.570008,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299991,1.000391,1.065203,1.491789
0.600000,-0.000010,-0.000400,0.034797,-0.000000,-0.001015,1.570009,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299990,1.000400,1.065203,1.491795
0.610000,-0.000010,-0.000408,0.034797,-0.000000,-0.001015,1.570009,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299990,1.000408,1.065203,1.491800
0.620000,-0.000010,-0.000417,0.034797,-0.000000,-0.001015,1.570009,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299990,1.000417,1.065203,1.491806
0.630000,-0.000010,-0.000425,0.034797,-0.000000,-0.001015,1.570009,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299990,1.000425,1.065203,1.491811
0.640000,-0.000011,-0.000433,0.034797,-0.000000,-0.001015,1.570009,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299989,1.000433,1.065203,1.491817
0.650000,-0.000011,-0.000442,0.034797,-0.000000,-0.001015,1.570010,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299989,1.000442,1.065203,1.491822
0.660000,-0.000011,-0.000450,0.034797,-0.000000,-0.001015,1.570010,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299989,1.000450,1.065203,1.491828
0.670000,-0.000011,-0.000458,0.034797,-0.000000,-0.001015,1.570010,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299989,1.000458,1.065203,1.491834
0.680000,-0.000011,-0.000467,0.034797,-0.000000,-0.001015,1.570010,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299989,1.000467,1.065203,1.491839
0.690000,-0.000012,-0.000475,0.034797,-0.000000,-0.001015,1.570010,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299988,1.000475,1.065203,1.491845
0.700000,-0.000012,-0.000484,0.034797,-0.000000,-0.001015,1.570011,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299988,1.000484,1.065203,1.491850
0.710000,-0.000012,-0.000492,0.034797,-0.000000,-0.001015,1.570011,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299988,1.000492,1.065203,1.491856
0.720000,-0.000012,-0.000500,0.034797,-0.000000,-0.001015,1.570011,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299988,1.000500,1.065203,1.491861
0.730000,-0.000013,-0.000509,0.034797,-0.000000,-0.001015,1.570011,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299987,1.000509,1.065203,1.491867
0.740000,-0.000013,-0.000517,0.034797,-0.000000,-0.001015,1.570011,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299987,1.000517,1.065203,1.491873
0.750000,-0.000013,-0.000525,0.034797,-0.000000,-0.001015,1.570011,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299987,1.000525,1.065203,1.491878
0.760000,-0.000013,-0.000534,0.034797,-0.000000,-0.001015,1.570012,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299987,1.000534,1.065203,1.491884
0.770000,-0.000014,-0.000542,0.034797,-0.000000,-0.001015,1.570012,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299986,1.000542,1.065203,1.491889
0.780000,-0.000014,-0.000551,0.034797,-0.000000,-0.001015,1.570012,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299986,1.000551,1.065203,1.491895
0.790000,-0.000014,-0.000559,0.034797,-0.000000,-0.001015,1.570012,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299986,1.000559,1.065203,1.491900
0.800000,-0.000014,-0.000567,0.034797,-0.000000,-0.001015,1.570012,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299986,1.000567,1.065203,1.491906
0.810000,-0.000014,-0.000576,0.034797,-0.000000,-0.001015,1.570013,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299986,1.000576,1.065203,1.491912
0.820000,-0.000015,-0.000584,0.034797,-0.000000,-0.001015,1.570013,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299985,1.000584,1.065203,1.491917
0.830000,-0.000015,-0.000592,0.034797,-0.000000,-0.001015,1.570013,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299985,1.000592,1.065203,1.491923
0.840000,-0.000015,-0.000601,0.034797,-0.000000,-0.001015,1.570013,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299985,1.000601,1.065203,1.491928
0.850000,-0.000015,-0.000609,0.034797,-0.000000,-0.001015,1.570013,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299985,1.000609,1.065203,1.491934
0.860000,-0.000016,-0.000618,0.034797,-0.000000,-0.001015,1.570014,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299984,1.000618,1.065203,1.491939
0.870000,-0.000016,-0.000626,0.034797,-0.000000,-0.001015,1.570014,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299984,1.000626,1.065203,1.491945
0.880000,-0.000016,-0.000634,0.034797,-0.000000,-0.001015,1.570014,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299984,1.000634,1.065203,1.491951
0.890000,-0.000016,-0.000643,0.034797,-0.000000,-0.001015,1.570014,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299984,1.000643,1.065203,1.491956
0.900000,-0.000016,-0.000651,0.034797,-0.000000,-0.001015,1.570014,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299984,1.000651,1.065203,1.491962
0.910000,-0.000017,-0.000659,0.034797,-0.000000,-0.001015,1.570015,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299983,1.000659,1.065203,1.491967
0.920000,-0.000017,-0.000668,0.034797,-0.000000,-0.001015,1.570015,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299983,1.000668,1.065203,1.491973
0.930000,-0.000017,-0.000676,0.034797,-0.000000,-0.001015,1.570015,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299983,1.000676,1.065203,1.491978
0.940000,-0.000017,-0.000685,0.034797,-0.000000,-0.001015,1.570015,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299983,1.000685,1.065203,1.491984
0.950000,-0.000018,-0.000693,0.034797,-0.000000,-0.001015,1.570015,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299982,1.000693,1.065203,1.491990
0.960000,-0.000018,-0.000701,0.034797,-0.000000,-0.001015,1.570016,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299982,1.000701,1.065203,1.491995
0.970000,-0.000018,-0.000710,0.034797,-0.000000,-0.001015,1.570016,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299982,1.000710,1.065203,1.492001
0.980000,-0.000018,-0.000718,0.034797,-0.000000,-0.001015,1.570016,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299982,1.000718,1.065203,1.492006
0.990000,-0.000018,-0.000726,0.034797,-0.000000,-0.001015,1.570016,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299982,1.000726,1.065203,1.492012
1.000000,-0.000019,-0.000735,0.034797,-0.000000,-0.001015,1.570016,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299981,1.000735,1.065203,1.492017
1.010000,-0.000019,-0.000743,0.034797,-0.000000,-0.001015,1.570017,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299981,1.000743,1.065203,1.492023
1.020000,-0.000019,-0.000752,0.034797,-0.000000,-0.001015,1.570017,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299981,1.000752,1.065203,1.492029
1.030000,-0.000019,-0.000760,0.034797,-0.000000,-0.001015,1.570017,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299981,1.000760,1.065203,1.492034
1.040000,-0.000020,-0.000768,0.034797,-0.000000,-0.001015,1.570017,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299980,1.000768,1.065203,1.492040
1.050000,-0.000020,-0.000777,0.034797,-0.000000,-0.001015,1.570017,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299980,1.000777,1.065203,1.492045
1.060000,-0.000020,-0.000785,0.034797,-0.000000,-0.001015,1.570018,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299980,1.000785,1.065203,1.492051
1.070000,-0.000020,-0.000793,0.034797,-0.000000,-0.001015,1.570018,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299980,1.000793,1.065203,1.492056
1.080000,-0.000020,-0.000802,0.034797,-0.000000,-0.001015,1.570018,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299980,1.000802,1.065203,1.492062
1.090000,-0.000021,-0.000810,0.034797,-0.000000,-0.001015,1.570018,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299979,1.000810,1.065203,1.492068
1.100000,-0.000021,-0.000819,0.034797,-0.000000,-0.001015,1.570018,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299979,1.000819,1.065203,1.492073
1.110000,-0.000021,-0.000827,0.034797,-0.000000,-0.001015,1.570019,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299979,1.000827,1.065203,1.492079
1.120000,-0.000021,-0.000835,0.034797,-0.000000,-0.001015,1.570019,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299979,1.000835,1.065203,1.492084
1.130000,-0.000022,-0.000844,0.034797,-0.000000,-0.001015,1.570019,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299978,1.000844,1.065203,1.492090
1.140000,-0.000022,-0.000852,0.034797,-0.000000,-0.001015,1.570019,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299978,1.000852,1.065203,1.492095
1.150000,-0.000022,-0.000860,0.034797,-0.000000,-0.001015,1.570019,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299978,1.000860,1.065203,1.492101
1.160000,-0.000022,-0.000869,0.034797,-0.000000,-0.001015,1.570020,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299978,1.000869,1.065203,1.492107
1.170000,-0.000022,-0.000877,0.034797,-0.000000,-0.001015,1.570020,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299978,1.000877,1.065203,1.492112
1.180000,-0.000023,-0.000885,0.034797,-0.000000,-0.001015,1.570020,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299977,1.000885,1.065203,1.492118
1.190000,-0.000023,-0.000894,0.034797,-0.000000,-0.001015,1.570020,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299977,1.000894,1.065203,1.492123
1.200000,-0.000023,-0.000902,0.034797,-0.000000,-0.001015,1.570020,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299977,1.000902,1.065203,1.492129
1.210000,-0.000023,-0.000911,0.034797,-0.000000,-0.001015,1.570021,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299977,1.000911,1.065203,1.492134
1.220000,-0.000024,-0.000919,0.034797,-0.000000,-0.001015,1.570021,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299976,1.000919,1.065203,1.492140
1.230000,-0.000024,-0.000927,0.034797,-0.000000,-0.001015,1.570021,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299976,1.000927,1.065203,1.492146
1.240000,-0.000024,-0.000936,0.034797,-0.000000,-0.001015,1.570021,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299976,1.000936,1.065203,1.492151
1.250000,-0.000024,-0.000944,0.034797,-0.000000,-0.001015,1.570021,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299976,1.000944,1.065203,1.492157
1.260000,-0.000024,-0.000952,0.034797,-0.000000,-0.001015,1.570022,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299976,1.000952,1.065203,1.492162
1.270000,-0.000025,-0.000961,0.034797,-0.000000,-0.001015,1.570022,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299975,1.000961,1.065203,1.492168
1.280000,-0.000025,-0.000969,0.034797,-0.000000,-0.001015,1.570022,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299975,1.000969,1.065203,1.492173
1.290000,-0.000025,-0.000978,0.034797,-0.000000,-0.001015,1.570022,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299975,1.000978,1.065203,1.492179
1.300000,-0.000025,-0.000986,0.034797,-0.000000,-0.001015,1.570022,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299975,1.000986,1.065203,1.492185
1.310000,-0.000026,-0.000994,0.034797,-0.000000,-0.001015,1.570023,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299974,1.000994,1.065203,1.492190
1.320000,-0.000026,-0.001003,0.034797,-0.000000,-0.001015,1.570023,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299974,1.001003,1.065203,1.492196
1.330000,-0.000026,-0.001011,0.034797,-0.000000,-0.001015,1.570023,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299974,1.001011,1.065203,1.492201
1.340000,-0.000026,-0.001019,0.034797,-0.000000,-0.001015,1.570023,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299974,1.001019,1.065203,1.492207
1.350000,-0.000026,-0.001028,0.034797,-0.000000,-0.001015,1.570023,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299974,1.001028,1.065203,1.492212
1.360000,-0.000027,-0.001036,0.034797,-0.000000,-0.001015,1.570024,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299973,1.001036,1.065203,1.492218
1.370000,-0.000027,-0.001045,0.034797,-0.000000,-0.001015,1.570024,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299973,1.001045,1.065203,1.492224
1.380000,-0.000027,-0.001053,0.034797,-0.000000,-0.001015,1.570024,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299973,1.001053,1.065203,1.492229
1.390000,-0.000027,-0.001061,0.034797,-0.000000,-0.001015,1.570024,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299973,1.001061,1.065203,1.492235
1.400000,-0.000028,-0.001070,0.034797,-0.000000,-0.001015,1.570024,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299972,1.001070,1.065203,1.492240
1.410000,-0.000028,-0.001078,0.034797,-0.000000,-0.001015,1.570025,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299972,1.001078,1.065203,1.492246
1.420000,-0.000028,-0.001086,0.034797,-0.000000,-0.001015,1.570025,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299972,1.001086,1.065203,1.492251
1.430000,-0.000028,-0.001095,0.034797,-0.000000,-0.001015,1.570025,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299972,1.001095,1.065203,1.492257
1.440000,-0.000028,-0.001103,0.034797,-0.000000,-0.001015,1.570025,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299972,1.001103,1.065203,1.492263
1.450000,-0.000029,-0.001112,0.034797,-0.000000,-0.001015,1.570025,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299971,1.001112,1.065203,1.492268
1.460000,-0.000029,-0.001120,0.034797,-0.000000,-0.001015,1.570026,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299971,1.001120,1.065203,1.492274
1.470000,-0.000029,-0.001128,0.034797,-0.000000,-0.001015,1.570026,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299971,1.001128,1.065203,1.492279
1.480000,-0.000029,-0.001137,0.034797,-0.000000,-0.001015,1.570026,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299971,1.001137,1.065203,1.492285
1.490000,-0.000030,-0.001145,0.034797,-0.000000,-0.001015,1.570026,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299970,1.001145,1.065203,1.492290
