t,drone_x,drone_y,drone_z,drone_vel_x,drone_vel_y,drone_vel_z,drone_roll,drone_pitch,drone_yaw,flower_x,flower_y,flower_z,flower_vel_x,flower_vel_y,flower_vel_z,flower_roll,flower_pitch,flower_yaw,dx,dy,dz,distance
21.066000,-0.001535,-0.004294,1.079218,0.000026,0.000014,-0.040218,-0.000004,0.000003,1.570798,0.593767,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.595302,1.004294,0.020782,1.167657
21.068000,-0.001535,-0.004294,1.079137,0.000026,0.000014,-0.040303,-0.000005,0.000003,1.570798,0.593379,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.594914,1.004294,0.020863,1.167460
21.070000,-0.001535,-0.004294,1.079056,0.000025,0.000014,-0.040388,-0.000006,0.000003,1.570798,0.592979,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.594514,1.004294,0.020944,1.167258
21.072000,-0.001535,-0.004293,1.078975,0.000025,0.000014,-0.040473,-0.000006,0.000003,1.570798,0.592568,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.594103,1.004293,0.021025,1.167050
21.074000,-0.001535,-0.004293,1.078894,0.000025,0.000014,-0.040558,-0.000007,0.000003,1.570798,0.592145,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.593680,1.004293,0.021106,1.166836
21.076000,-0.001535,-0.004293,1.078813,0.000025,0.000014,-0.040642,-0.000008,0.000003,1.570798,0.591711,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.593246,1.004293,0.021187,1.166617
21.078000,-0.001535,-0.004293,1.078731,0.000025,0.000014,-0.040727,-0.000009,0.000004,1.570798,0.591265,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.592800,1.004293,0.021269,1.166392
21.080000,-0.001535,-0.004293,1.078649,0.000025,0.000014,-0.040811,-0.000009,0.000004,1.570798,0.590808,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.592343,1.004293,0.021351,1.166161
21.082000,-0.001535,-0.004293,1.078568,0.000024,0.000014,-0.040891,-0.000010,0.000004,1.570798,0.590339,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.591874,1.004293,0.021432,1.165924
21.084000,-0.001535,-0.004293,1.078486,0.000024,0.000014,-0.040965,-0.000011,0.000004,1.570798,0.589859,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.591394,1.004293,0.021514,1.165682
21.086000,-0.001535,-0.004293,1.078404,0.000024,0.000014,-0.041032,-0.000012,0.000005,1.570798,0.589367,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.590902,1.004293,0.021596,1.165434
21.088000,-0.001535,-0.004293,1.078321,0.000024,0.000014,-0.041093,-0.000012,0.000005,1.570798,0.588864,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.590399,1.004293,0.021679,1.165180
21.090000,-0.001534,-0.004293,1.078239,0.000023,0.000014,-0.041149,-0.000013,0.000005,1.570798,0.588350,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.589884,1.004293,0.021761,1.164921
21.092000,-0.001534,-0.004293,1.078157,0.000023,0.000014,-0.041199,-0.000014,0.000005,1.570798,0.587824,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.589358,1.004293,0.021843,1.164657
21.094000,-0.001534,-0.004293,1.078074,0.000023,0.000014,-0.041246,-0.000015,0.000006,1.570798,0.587286,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.588821,1.004293,0.021926,1.164386
21.096000,-0.001534,-0.004293,1.077991,0.000022,0.000014,-0.041289,-0.000016,0.000006,1.570798,0.586738,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.588272,1.004293,0.022009,1.164111
21.098000,-0.001534,-0.004293,1.077909,0.000022,0.000015,-0.041328,-0.000016,0.000006,1.570798,0.586178,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.587712,1.004293,0.022091,1.163829
21.100000,-0.001534,-0.004293,1.077826,0.000022,0.000015,-0.041364,-0.000017,0.000006,1.570798,0.585607,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.587141,1.004293,0.022174,1.163542
21.102000,-0.001534,-0.004293,1.077743,0.000021,0.000015,-0.041397,-0.000018,0.000006,1.570798,0.585024,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.586559,1.004293,0.022257,1.163250
21.104000,-0.001534,-0.004293,1.077660,0.000021,0.000015,-0.041427,-0.000019,0.000006,1.570798,0.584431,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.585965,1.004293,0.022340,1.162952
21.106000,-0.001534,-0.004293,1.077577,0.000020,0.000015,-0.041455,-0.000019,0.000006,1.570798,0.583826,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.585360,1.004293,0.022423,1.162649
21.108000,-0.001534,-0.004293,1.077494,0.000020,0.000015,-0.041480,-0.000020,0.000006,1.570798,0.583209,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.584744,1.004293,0.022506,1.162341
21.110000,-0.001534,-0.004293,1.077411,0.000020,0.000015,-0.041504,-0.000021,0.000006,1.570798,0.582582,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.584116,1.004293,0.022589,1.162027
21.112000,-0.001534,-0.004293,1.077328,0.000019,0.000015,-0.041526,-0.000022,0.000006,1.570798,0.581944,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.583478,1.004293,0.022672,1.161708
21.114000,-0.001534,-0.004293,1.077245,0.000019,0.000015,-0.041546,-0.000022,0.000006,1.570798,0.581294,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.582828,1.004293,0.022755,1.161383
21.116000,-0.001534,-0.004293,1.077161,0.000018,0.000015,-0.041564,-0.000023,0.000005,1.570798,0.580633,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.582167,1.004293,0.022839,1.161053
21.118000,-0.001534,-0.004293,1.077078,0.000018,0.000015,-0.041582,-0.000024,0.000005,1.570798,0.579961,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.581495,1.004293,0.022922,1.160718
21.120000,-0.001534,-0.004293,1.076995,0.000017,0.000015,-0.041598,-0.000025,0.000005,1.570798,0.579279,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.580812,1.004293,0.023005,1.160378
21.122000,-0.001534,-0.004293,1.076912,0.000017,0.000016,-0.041613,-0.000025,0.000005,1.570798,0.578585,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.580118,1.004293,0.023088,1.160032
21.124000,-0.001534,-0.004293,1.076828,0.000016,0.000016,-0.041626,-0.000026,0.000004,1.570799,0.577880,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.579414,1.004293,0.023172,1.159681
21.126000,-0.001534,-0.004293,1.076745,0.000016,0.000016,-0.041639,-0.000027,0.000004,1.570799,0.577164,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.578698,1.004293,0.023255,1.159325
21.128000,-0.001534,-0.004293,1.076662,0.000015,0.000016,-0.041652,-0.000028,0.000004,1.570799,0.576437,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.577971,1.004293,0.023338,1.158964
21.130000,-0.001534,-0.004293,1.076578,0.000014,0.000016,-0.041663,-0.000029,0.000004,1.570799,0.575699,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.577233,1.004293,0.023422,1.158598
21.132000,-0.001534,-0.004293,1.076495,0.000014,0.000016,-0.041674,-0.000029,0.000004,1.570799,0.574951,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.576484,1.004293,0.023505,1.158227
21.134000,-0.001534,-0.004293,1.076411,0.000013,0.000016,-0.041684,-0.000030,0.000003,1.570799,0.574191,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.575725,1.004293,0.023589,1.157851
21.136000,-0.001534,-0.004293,1.076328,0.000013,0.000016,-0.041693,-0.000031,0.000003,1.570799,0.573421,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.574955,1.004293,0.023672,1.157470
21.138000,-0.001534,-0.004293,1.076244,0.000012,0.000016,-0.041702,-0.000032,0.000003,1.570799,0.572640,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.574174,1.004293,0.023756,1.157084
21.140000,-0.001534,-0.004292,1.076161,0.000011,0.000016,-0.041711,-0.000032,0.000003,1.570799,0.571848,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.573382,1.004292,0.023839,1.156693
21.142000,-0.001534,-0.004292,1.076077,0.000011,0.000016,-0.041718,-0.000033,0.000003,1.570799,0.571045,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.572579,1.004292,0.023923,1.156297
21.144000,-0.001534,-0.004292,1.075994,0.000010,0.000016,-0.041724,-0.000034,0.000003,1.570799,0.570232,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.571766,1.004292,0.024006,1.155896
21.146000,-0.001534,-0.004292,1.075910,0.000009,0.000016,-0.041727,-0.000035,0.000003,1.570799,0.569408,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.570942,1.004292,0.024090,1.155490
21.148000,-0.001534,-0.004292,1.075827,0.000009,0.000016,-0.041729,-0.000035,0.000003,1.570799,0.568574,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.570107,1.004292,0.024173,1.155080
21.150000,-0.001533,-0.004292,1.075743,0.000008,0.000016,-0.041729,-0.000036,0.000003,1.570799,0.567729,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.569262,1.004292,0.024257,1.154665
21.152000,-0.001533,-0.004292,1.075660,0.000007,0.000016,-0.041728,-0.000037,0.000003,1.570799,0.566873,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.568406,1.004292,0.024340,1.154245
21.154000,-0.001533,-0.004292,1.075576,0.000007,0.000016,-0.041726,-0.000038,0.000003,1.570799,0.566006,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.567540,1.004292,0.024424,1.153820
21.156000,-0.001533,-0.004292,1.075493,0.000006,0.000016,-0.041723,-0.000038,0.000003,1.570799,0.565130,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.566663,1.004292,0.024507,1.153391
21.158000,-0.001533,-0.004292,1.075409,0.000005,0.000016,-0.041719,-0.000039,0.000004,1.570799,0.564242,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.565776,1.004292,0.024591,1.152957
21.160000,-0.001533,-0.004292,1.075326,0.000004,0.000016,-0.041714,-0.000040,0.000004,1.570799,0.563345,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.564878,1.004292,0.024674,1.152519
21.162000,-0.001533,-0.004292,1.075242,0.000003,0.000016,-0.041708,-0.000040,0.000004,1.570799,0.562437,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.563970,1.004292,0.024758,1.152075
21.164000,-0.001533,-0.004292,1.075159,0.000003,0.000016,-0.041701,-0.000041,0.000004,1.570799,0.561518,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.563052,1.004292,0.024841,1.151628
21.166000,-0.001533,-0.004292,1.075075,0.000002,0.000016,-0.041694,-0.000041,0.000004,1.570799,0.560589,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.562123,1.004292,0.024925,1.151176
21.168000,-0.001533,-0.004292,1.074992,0.000001,0.000016,-0.041686,-0.000041,0.000004,1.570799,0.559650,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.561184,1.004292,0.025008,1.150719
21.170000,-0.001533,-0.004292,1.074908,0.000000,0.000016,-0.041677,-0.000041,0.000004,1.570799,0.558701,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.560234,1.004292,0.025092,1.150259
21.172000,-0.001533,-0.004292,1.074825,-0.000001,0.000017,-0.041668,-0.000041,0.000005,1.570799,0.557742,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.559275,1.004292,0.025175,1.149793
21.174000,-0.001533,-0.004292,1.074741,-0.000001,0.000017,-0.041659,-0.000041,0.000005,1.570799,0.556772,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.558305,1.004292,0.025259,1.149324
21.176000,-0.001533,-0.004292,1.074658,-0.000002,0.000017,-0.041649,-0.000041,0.000005,1.570799,0.555792,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.557325,1.004292,0.025342,1.148850
